Timestamp,Energy_Consumption_kWh,Machine_Load_kW,Temperature_C,Humidity_%,Solar_Radiation_W_m2,Time_of_Day,Day_of_Week,Is_Holiday,Real-Time Power Load (kWh/kW)
2024-01-01,48.29331874545413,1.0798749169946076,15.159653219121132,43.44665426441256,105.23205123145105,Evening,0,0,44.72121537914681
2024-01-02,37.4172738377147,0.15867646773849284,14.995500007054222,48.76720554007464,106.98915905296046,Night,1,0,235.80858819834796
2024-01-03,49.543151022665455,1.7345659632716004,1.3013656749499418,26.214847503542874,230.4948196406054,Evening,2,0,28.562275561559563
2024-01-04,38.17765215584039,1.7762519774724497,6.599025527884692,28.12929851336014,245.6558665192832,Noon,3,1,21.49337630022852
2024-01-05,34.74477278414618,0.9444807674141937,26.19930523976609,67.03882464189873,193.4479563066676,Evening,4,1,36.7871681275953
2024-01-06,33.14865307656014,1.2830915525867368,15.24694007453789,70.79145225965426,248.4825041063079,Night,5,1,25.834986606943072
2024-01-07,21.733932818898563,0.8530187709605447,9.975700040793065,55.860724571953114,236.43603852372672,Night,6,0,25.47884473213291
2024-01-08,42.06042173578164,0.1384233126607159,23.86359727635677,58.88530059034149,168.05561443025988,Evening,0,0,303.8535989878694
2024-01-09,35.88042513720953,0.9764660710115568,6.379048011006358,67.46679700165907,206.6145298814889,Morning,1,1,36.74518368061646
2024-01-10,15.04508118164388,0.15574058830977894,-3.5446220232964807,29.304161843609588,223.64069048376933,Evening,2,1,96.60346955745511
2024-01-11,21.347679125690338,0.8978294298331301,28.836268841866925,46.884715053989176,189.40811339423382,Night,3,1,23.776987494894215
2024-01-12,33.205259434947344,0.12855393562252726,8.023857454326535,51.21994835288913,208.84172379004605,Evening,4,1,258.298272037722
2024-01-13,29.86190189642975,1.0469725411972697,21.94431311263078,63.20117927482217,202.56107499499743,Noon,5,0,28.522144298341438
2024-01-14,40.52952666172468,0.40455561458659717,31.340850909249177,36.23862187959131,247.4997592866974,Morning,6,1,100.18283074167825
2024-01-15,29.27927499095064,1.9058246281612996,18.49414893864844,54.67018267405505,125.48648793784372,Morning,0,1,15.363047868259883
2024-01-16,40.69298770192477,0.3874990044283132,4.606218379812452,33.45231585802671,117.77716025275254,Morning,1,0,105.01443161630863
2024-01-17,47.70034657507898,1.9983939640001998,18.463932250343294,40.77466108973215,218.06891898649835,Night,2,0,23.86934079784591
