Timestamp,Energy_Consumption_kWh,Machine_Load_kW,Temperature_C,Humidity_%,Solar_Radiation_W_m2,Time_of_Day,Day_of_Week,Is_Holiday,Real-Time Power Load (kWh/kW)
2024-01-01,1065.792770575293,367.77291043874453,23.07872476033222,43.42843508873494,379.0470323020608,Noon,0,1,2.897964315272234
2024-01-02,9569.116388829934,87.51001076982912,33.68540387555556,30.716767113909196,388.9318169749698,Evening,1,0,109.34881969102767
2024-01-03,5496.597002022774,460.2595814088549,38.475012296992006,44.576278577468656,376.51081113929405,Night,2,0,11.942384741231647
2024-01-04,8277.659049565746,346.9354572001894,13.784888433802504,79.24064341928735,190.27521345679065,Night,3,0,23.859363111419754
2024-01-05,3707.925527469866,180.92717198285476,30.22654221563899,45.51500632144879,263.81045741786534,Evening,4,1,20.494022466792558
2024-01-06,1074.8057662515525,465.99663026235334,36.73289335238621,50.030002835843675,313.2877369415369,Evening,5,0,2.306466820685899
2024-01-07,5515.735137495222,14.963074864260044,35.90122217696816,81.69163978210702,150.76013149119328,Night,6,0,368.62310638235164
2024-01-08,6031.782297063329,437.64827087667476,19.314359117624576,65.67619833184571,301.4857346872018,Night,0,0,13.78226008977659
2024-01-09,5929.427157283538,194.22429281942232,30.369719119795533,32.56034683934837,379.8058463921775,Morning,1,1,30.528761728051965
2024-01-10,4031.7741215251967,153.33942580637122,13.15982893004601,44.0802867716543,307.1613872064661,Night,2,1,26.29313433465118
2024-01-11,7164.672471255398,28.14182907453187,11.118529276812632,56.78642940404148,369.3611769311653,Noon,3,1,254.59157087054334
2024-01-12,5152.901802748989,415.1178000644447,28.3929979440866,33.745913962935255,216.38163342286254,Morning,4,0,12.413107320257119
2024-01-13,3482.896090330578,365.417600865027,17.208513254153885,69.63793808719717,339.5493640855989,Evening,5,0,9.5312762222886
2024-01-14,8784.594738166586,38.1425434272162,34.41573734097149,63.144022584978565,370.7431491565195,Night,6,1,230.30962145797636
2024-01-15,2734.722159527176,94.93377318394712,10.653956959316693,82.22626595289219,326.2996457161678,Morning,0,1,28.806630852313
2024-01-16,8356.195937724906,93.50688146101899,18.359325597284784,56.631752126189184,335.43610441717203,Night,1,1,89.36450245331328
2024-01-17,549.2355351393909,18.577589773714912,47.10568985886142,86.17791432373097,205.82715045018213,Night,2,0,29.564412920587475
2024-01-18,5020.876704795213,191.60645151028393,25.931309819390446,83.06063580712154,390.3490435580641,Noon,3,0,26.204110901379185
2024-01-19,3751.3691622981155,314.38360426839415,27.670148884503895,78.97594473563144,243.26182771471522,Noon,4,0,11.932458026963497
2024-01-20,2395.187011266898,144.14042156809924,35.820803295523056,68.34569831213801,391.31053095658547,Night,5,0,16.6170390318672
2024-01-21,8839.172014919539,211.89381855166587,44.25245055632935,53.41774559187321,225.69244775754504,Noon,6,0,41.715100871450346
2024-01-22,7395.584919754109,16.96159929550087,30.33184963749708,60.95354585301485,290.3942626267787,Noon,0,1,436.01931580330495
2024-01-23,2819.4908456888143,34.38301254899574,12.703461481129136,31.937166378319848,159.20651696243263,Noon,1,1,82.0024377349438
2024-01-24,1843.4974649219832,24.57510330707377,39.23282278562647,50.400116419692885,370.29621357264375,Noon,2,1,75.01484090979774
2024-01-25,1518.2674802932797,121.7668926764979,46.93253921341468,32.08878522991879,316.973648615441,Morning,3,1,12.468639438200256
2024-01-26,2415.141665084394,490.1154224466763,31.48248463022021,68.48098814896031,349.0141681782102,Night,4,1,4.927699791669292
2024-01-27,9307.582687519576,277.47888858907265,49.509008562104256,56.343600694660154,309.88107694452776,Noon,5,1,33.543390399344844
2024-01-28,2988.5250079599678,12.789207192863799,19.378286191279162,75.16980214043463,393.7849457395432,Night,6,1,233.67554867885192
2024-01-29,9599.799910822483,479.73649518184754,37.990243369438716,84.31723924010228,151.29241162444228,Noon,0,1,20.010568316641432
2024-01-30,2411.902104891871,77.3702316379102,28.770881179360366,45.68151834146105,198.08470964601895,Morning,1,0,31.173515366730236
2024-01-31,7926.151445632914,405.13209406317793,34.09583396951845,74.65902832483232,285.16489935001346,Night,2,1,19.564363233086336
2024-02-01,6203.212899842303,486.6469956086369,48.827442926144954,57.34818423069582,224.38866670845033,Evening,3,1,12.74684310356032
2024-02-02,881.4965216705144,202.11371266663076,42.20750653430434,34.34232365821932,226.82235680984212,Evening,4,0,4.361388992564138
2024-02-03,4263.342624313842,5.388274382617616,17.931650847300865,64.48709917426966,260.3492583193452,Noon,5,0,791.2259698702865
2024-02-04,9285.161643293259,26.070787177819348,34.14190351933216,31.829781312799938,227.63577158823765,Noon,6,0,356.15194815417544
2024-02-05,8493.769087055918,64.4159466326324,49.02169332350476,86.7859660791046,228.02685262575147,Noon,0,1,131.85817380743217
2024-02-06,8520.214638565245,450.55261708049335,37.63023843192003,72.65295468326013,309.30180987056923,Evening,1,1,18.910587388826706
2024-02-07,7725.256133040055,65.88621403743875,37.59745499209174,31.9099230612067,376.8801122031403,Night,2,1,117.25148038784421
2024-02-08,6469.287588594303,251.399259267795,28.79153185624196,64.09103989404154,257.0122431214787,Evening,3,0,25.733121121502993
2024-02-09,5810.795870697063,212.03320182312365,36.39343609349211,60.20620989070525,363.2603451581233,Evening,4,1,27.405122503146377
2024-02-10,5418.193103037774,481.7100153339919,19.054206642258432,53.148412415626055,329.45567128867293,Noon,5,1,11.247831538817163
2024-02-11,3971.705710040585,171.6137143284348,27.248552056709528,53.10793699603208,350.5186441172103,Morning,6,0,23.14328855116744
2024-02-12,820.2624557231067,195.48823920276925,18.330584908386243,47.09397762746559,216.01174612284444,Night,0,1,4.195968305143376
2024-02-13,8964.662435846014,128.3286618909661,35.34931035671811,70.70745748463659,219.50162103802603,Night,1,0,69.85705534327789
2024-02-14,2221.374261363856,96.59103782663479,40.02737507721178,32.95645165070361,207.22841920174542,Evening,2,0,22.997726407607935
2024-02-15,2767.4805656159433,318.2991139996779,10.394335799296673,50.56090723835228,211.70498346544133,Evening,3,1,8.694590854622184
2024-02-16,8768.60171944694,457.94810540869855,46.15634870644773,79.36584982458238,344.2373328368769,Night,4,0,19.147588156569288
2024-02-17,9813.257332880063,8.975144977255631,14.733309473281722,37.362151421372175,255.6103924690825,Morning,5,1,1093.3814838365658
2024-02-18,1121.5261935741737,481.16605356327767,29.695314990874092,30.394205382424385,221.3394005832456,Morning,6,0,2.330850618551965
2024-02-19,9229.85171897904,385.293289933,26.522762571599316,84.65803908562931,347.2764142655142,Noon,0,1,23.95539180187657
